gene_id,gene_name,Common_Name,Citation,URL,Review,URL,Note,Pub_locus,Other_Name
WBGene00229268,Bma-mup-4,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s71,,,,Bm1_05930,Bm-mup-4; TAG9007; Bm1_00645A; Bm1_05925A; Bm1_05930A; TAG11704; TAG12311; TAG75; Bm1_00645; Bm1_05930; Bm1_05925
WBGene00231041,Bm10780,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s72,,,,Bm1_20065,Bm-ttr-48; TAG10780; Bm1_20065A; Bm1_20065
WBGene00225062,Bma-let-805,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s73,,,,Bm1_53515,TAG4801; Bm1_02140A; Bm1_09810A; Bm1_12945A; Bm1_19525A; Bm1_53505A; Bm1_53510A; Bm1_53515A; Bm1_55510A; Bm1_57145A; TAG11312; TAG12130; Bm1_53505; Bm1_02140; Bm1_12945; Bm1_53515; Bm1_55510; Bm1_09810; Bm1_19525; Bm1_57145; Bm1_53510
WBGene00222151,Bma-erm-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s74,,,,Bm1_49920,Bm-erm-1; TAG1890; TAG13232; Bm1_49920
WBGene00226673,Bma-crt-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s75,,,,Bm1_23560,TAG6412; Bm1_23560A; Bm6412; BmCRT; TAG12633; Bm1_23560
WBGene00233064,Bm12803,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s76,,,,Bm1_18805,Bm-cpl-8; TAG12803; Bm1_18805A; Bma-cpl-8; Bm1_18805
WBGene00225062,Bma-let-805,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s77,,,,Bm1_57145,TAG4801; Bm1_02140A; Bm1_09810A; Bm1_12945A; Bm1_19525A; Bm1_53505A; Bm1_53510A; Bm1_53515A; Bm1_55510A; Bm1_57145A; TAG11312; TAG12130; Bm1_53505; Bm1_02140; Bm1_12945; Bm1_53515; Bm1_55510; Bm1_09810; Bm1_19525; Bm1_57145; Bm1_53510
WBGene00228327,Bm8066,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s78,,,,Bm1_21620,TAG8066; Bm1_21620A; Bm1_21620
WBGene00233937,Bma-pas-7,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s79,,,,Bm1_16260,Bm-pas-7; TAG13676; Bm1_16260A; Bm1_16260
WBGene00227547,Bma-sql-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s80,,,,Bm1_10120,TAG7286; Bm1_10120A; Bm1_11700A; Bm1_11705A; Bm1_10120; Bm1_11700; Bm1_11705
WBGene00229189,Bm8928,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s81,,,,Bm1_13900,TAG8928; Bm1_13900A; Bm1_13900
WBGene00234140,Bm13879,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s82,,,,Bm1_56470,TAG13879; Bm1_56470A; Bm1_56470
WBGene00222707,Bm2446,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s83,,,,Bm1_37185,TAG2446; Bm1_37185
WBGene00234063,Bm13802,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s84,,,,Bm1_02365,TAG13802; Bm1_02365A; Bm1_02365; Bma-ltah-1.1
WBGene00234241,Bma-tald-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s85,,,,Bm1_04195,TAG13980; Bm1_04195A; Bm1_04195
WBGene00221977,Bm1716,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s86,,,,Bm1_42810,TAG1716; TAG11151; Bm1_42810
WBGene00224794,Bm4533,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s87,,,,Bm1_10700,TAG4533; Bm1_10700A; Bm1_10700
WBGene00233217,Bm12956,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s89,,,,Bm1_49930,TAG12956; Bm1_49930
WBGene00226162,Bma-cmd-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s90,,,,Bm1_50415,TAG5901; Bm1_50415
WBGene00230914,Bm10653,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s91,,,,Bm1_13650,TAG10653; Bm1_13650A; Bm1_13650
WBGene00226095,Bm5834,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s92,,,,Bm1_50630,TAG5834; Bm1_50630
WBGene00225530,Bma-gana-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s93,,,,Bm1_51545,Bm-gana-1; TAG5269; Bm1_51540; Bm1_51545
WBGene00230507,Bma-heh-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s94,,,,Bm1_35600,Bm-heh-1; TAG10246; Bm1_35600A; Bm1_35600
WBGene00223435,Bma-cht-1.2,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s95,,,,Bm1_17035,TAG3174; Bm1_06755A; Bm1_17035A; Bm1_17035
WBGene00229641,Bma-srp-2,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s96,,,,Bm1_28525,TAG9380; Bm1_28525A; BM-SPN-2; BM-SPN-2; Bm9380; TAG12085; Bm1_28525
WBGene00224564,Bm4303,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s97,,,,Bm1_17400,TAG4303; Bm1_17400A; TAG1719; TAG290; Bm1_17405A; Bm1_17400; Bm1_17405
WBGene00227313,Bma-pghm-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s98,,,,Bm1_35870,Bm-pghm-1; TAG7052; Bm1_01965A; Bm1_35870A; Bm1_35875A; TAG11958; Bm1_01965; Bm1_35875; Bm1_35870
WBGene00268951,Bm17809,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s99,,,,Bm1_54345,Bm1_54345
WBGene00268496,Bm17353,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s100,,,,Bm1_23665,Bm1_23665
WBGene00269305,Bm18165,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s101,,,,Bm1_17270,Bm1_17270A; Bm1_17270
WBGene00229736,Bm9475,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s102,,,,Bm1_24780,TAG9475; Bm1_24780A; Bm1_24780
WBGene00268963,Bm17821,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s103,,,,Bm1_29545,Bm1_29530A; Bm1_29545A; Bm1_57560A; Bm1_29545; Bm1_29530
WBGene00224494,Bm4233,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s104,,,,Bm1_14040,TAG4233; Bm1_14040A; Bm1_14040B; BmVal-1; Bm1_14040
WBGene00220489,Bm228,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s105,,,,Bm1_27870,TAG228; Bm1_27870A; Bm1_27870
WBGene00223728,Bm3467,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s106,,,,Bm1_25935,TAG3467; Bm1_25935A; TAG8613; Bm1_25940A; Bm1_25935; Bm1_25940
WBGene00223491,Bma-nas-14,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s107,,,,Bm1_31525,Bm-nas-14; TAG3230; Bm1_31525A; BmK1; Bm1_31525
WBGene00222680,Bm2419,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s108,,,,Bm1_32290,TAG2419; Bm1_32290
WBGene00231384,Bma-taf-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s109,,,,Bm1_45470,TAG11123; TAG11938; TAG6177; Bm1_45470
WBGene00224942,Bm4681,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s110,,,,Bm1_51805,TAG4681; Bm1_51805
WBGene00268564,Bm17421,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s111,,,,Bm1_57105,Bm1_57105A; Bm1_57105
