Sex,Worm,Distance,Gray_Value,Annotation
Male,0329_e3,78.65,0,
Male,0329_e3,78.975,0,
Male,0329_e3,79.3,0,
Male,0329_e3,79.625,0,
Male,0329_e3,79.95,0,
Male,0329_e3,80.275,0,
Male,0329_e3,80.6,0,
Male,0329_e3,80.925,0,
Male,0329_e3,81.25,0,
Male,0329_e3,81.575,0,
Male,0329_e3,81.9,0,
Male,0329_e3,82.225,0,
Male,0329_e3,82.55,0,
Male,0329_e3,82.875,0,
Male,0329_e3,83.2,0,
Male,0329_e3,83.525,0,
Male,0329_e3,83.85,0,
Male,0329_e3,84.175,2.3182,
Male,0329_e3,84.5,4.6364,
Male,0329_e3,84.825,5.7955,
Male,0329_e3,85.15,5.7955,
Male,0329_e3,85.475,6.375,
Male,0329_e3,85.8,5.7955,
Male,0329_e3,86.125,4.6364,
Male,0329_e3,86.45,4.0568,
Male,0329_e3,86.775,1.1591,
Male,0329_e3,87.1,1.7386,
Male,0329_e3,87.425,3.4773,
Male,0329_e3,87.75,4.0568,
Male,0329_e3,88.075,4.0568,
Male,0329_e3,88.4,5.7955,
Male,0329_e3,88.725,5.7955,
Male,0329_e3,89.05,6.9545,
Male,0329_e3,89.375,6.375,
Male,0329_e3,89.7,5.7955,
Male,0329_e3,90.025,6.375,
Male,0329_e3,90.35,6.375,
Male,0329_e3,90.675,11.5909,
Male,0329_e3,91,17.9659,
Male,0329_e3,91.325,19.125,
Male,0329_e3,91.65,20.8636,
Male,0329_e3,91.975,20.8636,
Male,0329_e3,92.3,21.4432,
Male,0329_e3,92.625,22.0227,
Male,0329_e3,92.95,21.4432,
Male,0329_e3,93.275,19.7045,
Male,0329_e3,93.6,19.7045,
Male,0329_e3,93.925,19.125,
Male,0329_e3,94.25,20.2841,
Male,0329_e3,94.575,18.5455,
Male,0329_e3,94.9,19.125,
Male,0329_e3,95.225,17.3864,
Male,0329_e3,95.55,18.5455,
Male,0329_e3,95.875,17.9659,
Male,0329_e3,96.2,20.2841,
Male,0329_e3,96.525,24.9205,
Male,0329_e3,96.85,26.0795,
Male,0329_e3,97.175,26.6591,
Male,0329_e3,97.5,26.0795,
Male,0329_e3,97.825,23.7614,
Male,0329_e3,98.15,22.6023,
Male,0329_e3,98.475,24.3409,
Male,0329_e3,98.8,23.7614,
Male,0329_e3,99.125,23.1818,
Male,0329_e3,99.45,23.7614,
Male,0329_e3,99.775,22.6023,
Male,0329_e3,100.1,21.4432,
Male,0329_e3,100.425,22.0227,
Male,0329_e3,100.75,19.7045,
Male,0329_e3,101.075,16.8068,
Male,0329_e3,101.4,12.75,
Male,0329_e3,101.725,12.1705,
Male,0329_e3,102.05,12.75,
Male,0329_e3,102.375,12.1705,
Male,0329_e3,102.7,12.1705,
Male,0329_e3,103.025,9.8523,
Male,0329_e3,103.35,12.75,
Male,0329_e3,103.675,11.5909,
Male,0329_e3,104,13.9091,
Male,0329_e3,104.325,13.9091,
Male,0329_e3,104.65,13.9091,
Male,0329_e3,104.975,16.2273,
Male,0329_e3,105.3,14.4886,
Male,0329_e3,105.625,13.3295,
Male,0329_e3,105.95,10.4318,
Male,0329_e3,106.275,6.9545,
Male,0329_e3,106.6,5.7955,
Male,0329_e3,106.925,5.2159,
Male,0329_e3,107.25,2.8977,
Male,0329_e3,107.575,1.7386,
Male,0329_e3,107.9,0,
Male,0329_e3,108.225,4.0568,
Male,0329_e3,108.55,5.2159,
Male,0329_e3,108.875,6.9545,
Male,0329_e3,109.2,6.9545,
Male,0329_e3,109.525,7.5341,
Male,0329_e3,109.85,7.5341,
Male,0329_e3,110.175,7.5341,
Male,0329_e3,110.5,6.9545,
Male,0329_e3,110.825,7.5341,
